phase,file,line,section,subsection,id,prefix,text,classification
1,phase-1.md,83,Production requirements,,API-001,API,"Construct the application so that shared clients, pools, and other process-scoped resources are initialized in the FastAPI/Starlette lifespan and closed during lifespan teardown. Avoid network calls, client creation, migrations, or expensive initialization as accidental module-import side effects. An application factory is optional, but must be used if multiple differently configured app instances, test isolation, or deferred construction requires it.",STRONGLY RECOMMENDED
1,phase-1.md,84,Production requirements,,API-002,API,"Parse production configuration through typed settings and reject missing, empty, malformed, internally inconsistent, or development-only values before the process becomes ready. Validate origins and URLs structurally, numeric ranges explicitly, and booleans without ambiguous ad hoc string coercion. Do not log secret values.",REQUIRED
1,phase-1.md,85,Production requirements,,API-003,API,"Fail startup when an internal component required to serve any meaningful request cannot initialize. Treat third-party availability as a readiness or degraded-service decision unless that provider is indispensable to every request. Required database connectivity may affect readiness; optional payment, email, image, or messaging providers should not automatically create fleet-wide restart loops.",CONTEXT-DEPENDENT
1,phase-1.md,86,Production requirements,,API-004,API,"On termination, stop accepting new traffic, allow a bounded period for in-flight requests and background tasks to finish, then close resources. Configure the hosting platform’s termination grace period to exceed or align with Uvicorn’s graceful-shutdown timeout.",REQUIRED
1,phase-1.md,87,Production requirements,,API-005,API,"Do not use development reload mode in production. Run Uvicorn under a hosting platform, container orchestrator, or process supervisor that restarts failed processes and supports graceful termination. An additional standalone process manager is not mandatory when the platform already provides equivalent supervision.",REQUIRED
1,phase-1.md,88,Production requirements,,API-006,API,"Choose worker and instance count from measured CPU, memory, latency, connection, and workload behavior. Ensure every worker performs its own lifespan initialization and receives consistent configuration. Prefer one process per container where the orchestrator scales containers; multiple workers in one host are valid when the host does not provide equivalent process-level scaling.",CONTEXT-DEPENDENT
1,phase-1.md,89,Production requirements,,API-007,API,"Set and document Uvicorn keep-alive, concurrency limit, maximum-request recycling if used, and graceful-shutdown timeout. Treat Uvicorn’s concurrency limit as an overload backstop, not a replacement for endpoint-aware rate limiting. Disable or minimize server-identification headers where supported and verify actual edge responses.",STRONGLY RECOMMENDED
1,phase-1.md,90,Production requirements,,API-008,API,"Trust `X-Forwarded-For`, `X-Forwarded-Proto`, or related forwarding metadata only when the immediate network peer is a known proxy address or network. Configure the allowlist from the actual deployment path. Never accept forwarding headers directly from arbitrary public clients, and use `*` only when network isolation guarantees that every direct peer is a sanitizing proxy.",REQUIRED when forwarded headers are consumed
1,phase-1.md,91,Production requirements,,API-009,API,"Define how multiple proxy hops are normalized and which component appends, replaces, or strips forwarding fields. Verify original scheme, host, client IP, path prefix, generated absolute URLs, redirects, and OpenAPI server URLs. Configure ASGI `root_path` or equivalent when the API is mounted below an external prefix.",REQUIRED when deployed behind one or more proxies
1,phase-1.md,92,Production requirements,,API-010,API,"Enforce an explicit production host allowlist at the edge or with Starlette `TrustedHostMiddleware`; include only canonical API domains and deliberate aliases. Handle preview deployments through controlled patterns or separate environment configuration, not an unrestricted wildcard.","STRONGLY RECOMMENDED; REQUIRED if request host influences URL generation, routing, cookies, redirects, or security decisions"
1,phase-1.md,93,Production requirements,,API-011,API,Serve the public API only over HTTPS. Terminate TLS at a managed edge or load balancer unless end-to-end TLS is required by the network model. Redirect HTTP to HTTPS at one authoritative layer. Application-level HTTPS redirects are appropriate only when the application receives a trustworthy original-scheme signal; otherwise they can loop behind TLS termination. Enable HSTS only after the selected host and any included subdomains are consistently HTTPS-capable.,REQUIRED for HTTPS; STRONGLY RECOMMENDED for HSTS after safe rollout
1,phase-1.md,94,Production requirements,,API-012,API,"When browser and API origins differ, allow only exact, reviewed frontend origins; explicitly allow required methods and request headers, including `Authorization` and `Content-Type`; expose only response headers the frontend needs, such as a request ID. Do not accept `null` origins unless a documented client requires them. Dynamic matching must validate against a closed rule and must never reflect an arbitrary origin.",REQUIRED for cross-origin browser access; NOT APPLICABLE for same-origin-only deployments
1,phase-1.md,95,Production requirements,,API-013,API,"Do not set `allow_credentials=True` merely because JavaScript manually sends a bearer token. It is required when cross-origin Fetch uses credentials mode `include`—for example, browser-managed cookies, HTTP authentication, or client certificates. Regardless of credentials mode, `Authorization` must be explicitly allowed because it is a CORS non-wildcard request-header name.",CONTEXT-DEPENDENT
1,phase-1.md,96,Production requirements,,API-014,API,"Establish an explicit security-header policy, with browser-document headers primarily attached to React HTML and interactive API documentation rather than indiscriminately to JSON. At minimum, verify HSTS at the HTTPS edge, `X-Content-Type-Options: nosniff`, cache directives, and removal or minimization of server-identification headers.",STRONGLY RECOMMENDED
1,phase-1.md,97,Production requirements,,API-015,API,"Apply finite request-body, multipart, individual-part, file, field-count, header, URL/query-string, and decoded-content limits before expensive parsing or storage. Use edge/proxy limits for coarse rejection and application/parser limits for endpoint-specific enforcement. Reject oversized content with `413`; use `431` where supported for excessive request headers.",REQUIRED
1,phase-1.md,98,Production requirements,,API-016,API,"Select limits from legitimate use, maximum expected image and JSON sizes, parser memory, downstream provider limits, instance capacity, and abuse cost. Do not adopt one universal numeric limit. Document whether limits apply to compressed bytes, decompressed bytes, each multipart part, aggregate content, and chunked transfers.",REQUIRED control; values are CONTEXT-DEPENDENT
1,phase-1.md,99,Production requirements,,API-017,API,"Bound collection page size, cursor/offset range, search term length and complexity, sort/filter combinations, date ranges, export size, and bulk-operation item counts. Reject or clamp excessive values consistently and document defaults and maximums.","REQUIRED for collection, search, export, and bulk endpoints"
1,phase-1.md,100,Production requirements,,API-018,API,"Define a layered timeout budget for connection establishment, request headers, request body, application processing, database work, and each upstream provider. Configure slow-client/header/body protection at the proxy or hosting edge; Uvicorn keep-alive alone is not a complete slowloris defense. Ensure downstream timeouts are shorter than the caller’s remaining budget.",REQUIRED
1,phase-1.md,101,Production requirements,,API-019,API,"Treat application request cancellation as a normal condition. Ensure cancellation closes response streams and releases database/provider resources. Do not continue irreversible work after client disconnect unless the operation has been deliberately transferred to durable background processing. Use `202 Accepted` only when work has genuinely been accepted but is not complete, with a way to observe outcome where appropriate.",STRONGLY RECOMMENDED
1,phase-1.md,102,Production requirements,,API-020,API,"Apply endpoint-specific abuse controls based on identity and cost: IP or network for unauthenticated traffic; user/token for authenticated traffic; and tighter controls for public search, messaging, content creation, upload initiation, payment initiation, administrative mutations, and authentication-related endpoints. Combine burst and sustained policies where needed.",REQUIRED for abuse-sensitive and resource-expensive flows
1,phase-1.md,103,Production requirements,,API-021,API,"In multi-instance deployments, use a limiter architecture that provides the intended consistency scope. Local per-worker counters may be acceptable only when limits are explicitly approximate. Define limiter failure behavior by endpoint: fail-open can preserve availability for low-risk reads; fail-closed may be justified for costly or high-abuse mutations but creates a limiter-driven denial-of-service risk. Return `429` and an appropriate `Retry-After` when a retry interval is known.",CONTEXT-DEPENDENT
1,phase-1.md,104,Production requirements,,API-022,API,"Return a stable JSON error contract with an HTTP status, machine-readable type or code, safe human-readable message, and request/correlation ID. RFC 9457 Problem Details is a suitable standard form but is not mandatory if an equally stable documented schema is used.",STRONGLY RECOMMENDED
1,phase-1.md,105,Production requirements,,API-023,API,"Install global handlers for request validation, malformed JSON, application exceptions, provider failures, and unexpected exceptions. Never return stack traces, SQL/provider messages, raw exception strings, secret values, or internal filesystem/module details. Log the internal exception separately with the request ID. Ensure debug mode is disabled in production.",REQUIRED
1,phase-1.md,106,Production requirements,,API-024,API,"Distinguish malformed syntax (`400`), syntactically valid but invalid input (`422` where that contract is chosen), unsupported media type (`415`), oversized content (`413`), state conflicts or duplicates (`409`), missing/precondition failures (`404`/`410`/`412`), and transient server or gateway failures (`500`/`502`/`503`/`504`). Conceal resource existence with `404` instead of `403` only where the authorization policy requires it.",REQUIRED for protocol-consistent behavior
1,phase-1.md,107,Production requirements,,API-025,API,Permit only documented HTTP methods. Preserve safe and idempotent semantics: do not make `GET` mutate state; design `PUT` and `DELETE` so repetition has the intended idempotent effect; do not assume `POST` is idempotent without an application-level mechanism. Return `405` with `Allow` for known routes that reject a method.,REQUIRED
1,phase-1.md,108,Production requirements,,API-026,API,Require `Content-Type: application/json` for JSON request bodies and reject unsupported media types with `415`. Honor or explicitly constrain `Accept`; return JSON consistently and consider `406` when the client excludes every supported representation. Multipart upload endpoints must declare and enforce their multipart contract separately.,REQUIRED
1,phase-1.md,109,Production requirements,,API-027,API,Serialize JSON as UTF-8; use RFC 3339 timestamps with an explicit UTC `Z` or numeric offset; define UUIDs as canonical strings; and document nullability. Do not transmit money through binary floating-point where exact decimal semantics matter—use integer minor units or a documented decimal-string representation. Define unknown-field handling explicitly.,STRONGLY RECOMMENDED; exact money representation is CONTEXT-DEPENDENT
1,phase-1.md,110,Production requirements,,API-028,API,"Define response models for every non-streaming JSON endpoint and use them to validate and filter output. Separate input, internal persistence, public response, administrative response, and provider schemas. Reject or deliberately ignore unexpected input fields according to endpoint risk; sensitive mutations should normally reject unknown fields.",REQUIRED for endpoints returning sensitive or user-derived data
1,phase-1.md,111,Production requirements,,API-029,API,"Bound large responses. Use pagination for collections, avoid unbounded in-memory serialization, and use streaming only where the client and proxy timeout/caching behavior is deliberately designed. Enable compression only above a useful minimum size and test latency and memory effects; do not rely on compression as a substitute for response limits.",STRONGLY RECOMMENDED
1,phase-1.md,112,Production requirements,,API-030,API,"Generate or validate a bounded, syntactically safe request ID for every request, return it in the response, and include it in access and application logs. Treat arbitrary client-supplied IDs as untrusted: reject, replace, or normalize malformed and excessive values. Propagate a correlation identifier to downstream calls and durable background work. Full distributed tracing is optional.",STRONGLY RECOMMENDED
1,phase-1.md,113,Production requirements,,API-031,API,"When W3C Trace Context is adopted, parse `traceparent` according to the specification, ignore invalid values, create a new context as required, and avoid placing personal or secret information in `traceparent` or `tracestate`. Do not let a caller force expensive sampling.",CONTEXT-DEPENDENT
1,phase-1.md,114,Production requirements,,API-032,API,"Emit structured access logs containing, as operationally justified, timestamp, method, route template rather than raw sensitive path, status, duration, request ID, trusted client IP, safe pseudonymous user identifier, response size, error category, authentication outcome, and rate-limit outcome. Keep access, application, security, and audit events logically distinct.",STRONGLY RECOMMENDED
1,phase-1.md,115,Production requirements,,API-033,API,"Never log bearer tokens, `Authorization`, cookies, passwords, API or webhook secrets, presigned URLs, full payment data, sensitive request bodies, private-message content, or unnecessary personal data. Sanitize CR/LF and other control characters in untrusted values. Restrict audit events to necessary identifiers and changes, not secret payloads.",REQUIRED
1,phase-1.md,116,Production requirements,,API-034,API,"Set an explicit cache policy for every response class. Prevent shared-cache reuse of user-specific, administrative, inbox, notification, payment, or private-message responses through `private`, `no-store`, appropriate `Vary`, or another demonstrably safe policy. Do not assume that authentication alone always prevents caching, and do not assume every authenticated response requires `no-store`.",REQUIRED
1,phase-1.md,117,Production requirements,,API-035,API,"Use validators such as ETags and conditional requests for cacheable public resources where beneficial. Ensure cache keys vary on every representation-selecting input, including relevant query parameters, `Origin` when CORS output varies, and any negotiated representation. Never place secrets, bearer tokens, or presigned URLs in cache keys that are exposed through dashboards or logs.",CONTEXT-DEPENDENT
1,phase-1.md,118,Production requirements,,API-036,API,"Provide separate liveness and readiness semantics when the hosting platform uses probes. Liveness should answer whether the process/event loop is functioning and should not fail merely because a third party is down. Readiness should answer whether the instance should receive normal traffic, using short, bounded checks only for dependencies necessary to serve that traffic.",REQUIRED when platform routing depends on probes; otherwise STRONGLY RECOMMENDED
1,phase-1.md,119,Production requirements,,API-037,API,"Keep health responses minimal, uncached, and free of secrets, stack traces, connection strings, environment dumps, hostnames, or dependency versions. Protect detailed diagnostics by network restriction or authentication; keep orchestrator probes reachable through their trusted path. Exempt probes from ordinary user quotas only through a non-spoofable source or dedicated internal route.",REQUIRED
1,phase-1.md,120,Production requirements,,API-038,API,"Expose a non-sensitive build/release identifier where operationally useful, but do not publish secret environment configuration or detailed component versions. A version endpoint is not a substitute for an endpoint inventory or software inventory.",CONTEXT-DEPENDENT
1,phase-1.md,121,Production requirements,,API-039,API,"Decide deliberately whether Swagger UI, ReDoc, and OpenAPI JSON are public, authenticated/internal, or disabled. Do not treat hiding documentation as an authorization control. If exposed, ensure schemas omit secrets and internal-only fields, declare bearer security schemes, document error responses and limits, and carry accurate API/release metadata.",CONTEXT-DEPENDENT
1,phase-1.md,122,Production requirements,,API-040,API,"Maintain backward compatibility for deployed clients or coordinate breaking changes atomically. Treat removal or renaming of fields, new required request fields, narrowed enums, changed field types, altered status codes, changed error codes/shapes, and endpoint removal as potentially breaking. Added response fields and enum values can also break strict or exhaustively coded clients and therefore require contract testing.",STRONGLY RECOMMENDED
1,phase-1.md,123,Production requirements,,API-041,API,"Mark deprecated operations and fields in OpenAPI and use the `Deprecation` response header where machine-readable runtime notice is useful. Use `Sunset` only when a retirement time is planned, and communicate migration guidance through documentation or a link. Do not remove an endpoint merely because it was marked deprecated.",CONTEXT-DEPENDENT
1,phase-1.md,124,Production requirements,,API-042,API,"Use URL, header, or media-type versioning only when independent client lifecycles or long-lived incompatible contracts justify it. Operating without an explicit version is acceptable when frontend and backend deployment is tightly coordinated and changes remain compatible.",CONTEXT-DEPENDENT
1,phase-1.md,125,Production requirements,,API-043,API,"Maintain an authoritative inventory of public, authenticated, administrative, health, webhook, documentation, and legacy endpoints, including every deployed hostname and preview environment. Remove or protect obsolete routes and ensure alternate/beta hosts receive the same critical limits and headers.",REQUIRED
1,phase-1.md,126,Production requirements,,API-044,API,"Apply stricter, endpoint-specific controls to messaging, user-content creation, upload initiation/completion, payment initiation, and administrative mutations. Webhooks normally do not require CORS because they are server-to-server, but still require HTTPS, strict media/body limits, timeouts, replay/idempotency policy where applicable, and abuse protection that does not block legitimate provider retries.",REQUIRED for exposed high-cost or sensitive workflows
1,phase-1.md,127,Production requirements,,API-045,API,"Keep HTTP parsers, proxy software, and Uvicorn current; reject ambiguous HTTP/1.1 message framing; ensure the edge and origin agree on `Content-Length` and transfer-coding behavior; and prevent clients from bypassing the canonical proxy to reach an inconsistently parsing origin.",REQUIRED
1,phase-1.md,128,Production requirements,,API-046,API,"Complete an end-to-end production verification suite against the real deployed edge, not only an in-process test client. Include positive, negative, abuse, timeout, cache, proxy-spoofing, shutdown, and documentation-exposure scenarios, and retain sanitized evidence.",STRONGLY RECOMMENDED
2,phase-2.md,61,Firebase authentication requirements,,FBAUTH-001,FBAUTH,"Every protected backend request must verify the presented Firebase **ID token** with the maintained Firebase Admin SDK for the explicitly configured production project. A custom token, refresh token, arbitrary JWT, or merely decoded JWT must not be accepted as an application bearer credential.",`REQUIRED`
2,phase-2.md,62,Firebase authentication requirements,,FBAUTH-002,FBAUTH,"Successful verification must establish that the signature is valid, the signing key is trusted, `aud` matches the intended Firebase project ID, `iss` is the corresponding Secure Token issuer, the token is not expired, `iat` is acceptable, `sub` is nonempty and represents the Firebase UID, and the configured clock-skew allowance is no greater than the documented SDK limit.",`REQUIRED`
2,phase-2.md,63,Firebase authentication requirements,,FBAUTH-003,FBAUTH,"The backend must fail closed for missing credentials, empty tokens, malformed JWTs, invalid signatures, unsupported algorithms, wrong projects, expired tokens, malformed `Bearer` syntax, or ambiguous/multiple authorization credentials. It must not select one of multiple conflicting credentials.",`REQUIRED`
2,phase-2.md,64,Firebase authentication requirements,,FBAUTH-004,FBAUTH,"ID tokens must be transmitted only over validated HTTPS and in the HTTP `Authorization: Bearer <token>` field. Tokens must not be accepted from URLs, query strings, route parameters, fragments, referrers, or ordinary form fields.",`REQUIRED`
2,phase-2.md,65,Firebase authentication requirements,,FBAUTH-005,FBAUTH,"Application, proxy, tracing, analytics, error, and crash-reporting systems must redact the `Authorization` value and must not persist raw ID tokens, refresh tokens, custom tokens, or App Check tokens. Browser code must not print them to the console.",`REQUIRED`
2,phase-2.md,66,Firebase authentication requirements,,FBAUTH-006,FBAUTH,"The browser must use Firebase SDK APIs such as `getIdToken()` and auth/token-change observers rather than directly reading, persisting, copying, or refreshing raw token material. The application must not introduce a second custom `localStorage` or `sessionStorage` token copy.",`REQUIRED`
2,phase-2.md,67,Firebase authentication requirements,,FBAUTH-007,FBAUTH,Firebase persistence mode must be an explicit risk decision. Administrator sessions should use session-only or otherwise restricted persistence on shared or unmanaged devices; ordinary-user persistence may be longer where the product accepts the XSS/device-loss tradeoff.,`CONTEXT-DEPENDENT`
2,phase-2.md,68,Firebase authentication requirements,,FBAUTH-008,FBAUTH,"Request retry logic must obtain a current token after an authentication-expiry response and retry an idempotent request at most under a bounded policy. It must not blindly replay non-idempotent mutations, create infinite refresh loops, or fan out simultaneous refreshes unnecessarily.",`STRONGLY RECOMMENDED`
2,phase-2.md,69,Firebase authentication requirements,,FBAUTH-009,FBAUTH,"Client sign-out must clear the local Firebase session and application caches, but security-sensitive “sign out all devices” or compromise actions must additionally revoke Firebase refresh tokens. The system must not treat client `signOut()` as global token revocation.",`REQUIRED`
2,phase-2.md,70,Firebase authentication requirements,,FBAUTH-010,FBAUTH,"The application must define a revocation policy. At minimum, revocation-aware verification or an equivalent current-user check must be used for suspended/disabled accounts, administrator access, account security changes, and other high-risk operations. Checking revocation on every protected request is acceptable but incurs an additional remote lookup; selective checking is acceptable only when local account-state enforcement prevents revoked privileges from remaining usable.",`REQUIRED` for high-risk and lifecycle events; otherwise `CONTEXT-DEPENDENT`
2,phase-2.md,71,Firebase authentication requirements,,FBAUTH-011,FBAUTH,"Password change, primary-email change, suspected compromise, user-requested global sign-out, administrator suspension, and emergency privilege removal must trigger the documented invalidation sequence: update the authoritative local state where applicable, revoke Firebase refresh tokens, and force clients to refresh or sign out.",`REQUIRED`
