id,domain,requirement,classification,priority,preliminary_static_disposition,inventory_signal,required_next_verification,source_requirement_ids,final_audit_status,auditor_notes
GOV-001,Governance,"Maintain an authoritative production architecture and trust-boundary inventory covering frontend, API, workers, scheduler, PostgreSQL, Firebase, Stripe, R2, DNS/CDN, CI, monitoring, backups, public entry points, private services, regions, and single points of failure.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Phase 1A general repository inventory line 155: Frontend API/Firebase/Stripe env examples CONFIRMED frontend/.env.example:1-9 | Platform and Operational Foundation, Part 1 line 252: Scheduler/cron None found None found None found None found None found None found Search for cron/APScheduler/scheduler entry points found no app scheduler runner NOT FOUND IN SUBSYSTEM",PROCESS; CONFIG; PROVIDER,DEPLOY-001; API-043; EXT-001–012,NOT AUDITED,
GOV-002,Governance,"Maintain a complete environment matrix for local, test, staging, and production. Firebase projects, Stripe modes, R2 buckets, PostgreSQL databases, domains, webhooks, secrets, logs, and CI credentials must not cross environments accidentally.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Platform and Operational Foundation, Part 2 line 28: Backend CI Conditional on backend changes Python 3.12 Postgres 16 install requirements, compileall, Alembic upgrade, pytest backend/tests Workflow sets local test DB env names; no secrets.* refs found No artifacts/cache found None .github/workflows/ci.yml:93-145 CONFIRMED | Platform and Operational Foundation, Part 2 line 78: CI secret references No ${{ secrets.* }} found Workflow uses inline local test env names, not GitHub secrets .github/workflows/ci.yml:102-116; secret-ref search NOT FOUND IN SUBSYSTEM",CONFIG; PROVIDER; RUNTIME,FBAUTH-028–030; FE-002–003; STRIPE-006; STORAGE-001–004; DEPLOY-004; EXT-001–012,NOT AUDITED,
GOV-003,Governance,"Define data classifications and handling rules for public, internal, personal, private-message, financial, moderation, audit, authentication, and secret data. Classification must drive access, display, logging, caching, retention, backup, export, and deletion.",MUST,P1,STATIC EVIDENCE PRESENT,"Platform and Operational Foundation, Part 1 line 227: | Secret/token/payment/private-message redaction | No logging redaction/filter helper found in platform scan | Not applicable | Not applicable | None found | Not applicable | Logging/redaction search | NOT FOUND IN SUBSYSTEM | | Phase 1A general repository inventory line 206: Data export workflow NOT FOUND IN REPOSITORY No tracked implementation found",PROCESS; CODE; PROVIDER,SENS-001–012; DATA-001–004; AUDIT-007; API-033–034,NOT AUDITED,
GOV-004,Governance,"Assign named owners for authentication, authorization, payments, database, storage, workers, deployment, secrets, monitoring, backups, incident response, privacy operations, and provider accounts.",MUST DECIDE,P1,PROCESS / EXTERNAL EVIDENCE REQUIRED,"Phase 1A general repository inventory line 233: On-call, incident response, SLOs, runbooks, status page NOT REPOSITORY-VERIFIABLE | Platform and Operational Foundation, Part 2 line 12: Deployment secrets Provider dashboard/config Not in repo Not in repo Not in repo Not in repo Not in repo No provider dashboard access; no provider config files NOT REPOSITORY-VERIFIABLE",PROCESS; PROVIDER,AUDIT-002; SECRET-001–010; IR-001–012; EXT-001–012,NOT AUDITED,
GOV-005,Governance,"Use the normalized audit statuses PASS, PARTIAL, FAIL, NEEDS DECISION, NOT APPLICABLE, and EXTERNAL EVIDENCE REQUIRED. Every result must include evidence and a source-control reference.",MUST,P1,PROCESS / EXTERNAL EVIDENCE REQUIRED,"Platform and Operational Foundation, Part 2 line 127: Tests/builds/workflows were not run, so no pass/fail state is claimed. prompt restrictions NOT REPOSITORY-VERIFIABLE | Database Foundation and Migrations, Part 2 line 89: NOT REPOSITORY-VERIFIABLE: whether the existing database needs data normalization before these migrations is not knowable from static source alone.",PROCESS,All seven reports; consolidated checklist method,NOT AUDITED,
GOV-006,Governance,"Do not invent universal limits for request size, timeout, rate, worker count, pool size, indexes, retries, retention, RPO, RTO, or alert thresholds. Each value must have a documented basis and boundary test.",MUST DECIDE,P1,NEEDS OWNER DECISION,"Platform and Operational Foundation, Part 1 line 134: Body/request-size limits No platform middleware found Not applicable R2 has image-size config, but not platform body limit No app-level request body-size control found Targeted search; R2 max image setting at backend/services/r2_storage_service.py:111-113 NOT FOUND IN SUBSYSTEM | Platform and Operational Foundation, Part 2 line 92: Log retention None found None None None None Monitoring/retention search NOT FOUND IN SUBSYSTEM",PROCESS; RUNTIME; LOAD,"API-006–007, 016–021; DBCONN-002–004; QUERY-001–010; JOB-005–007; RECOVERY-001–014",NOT AUDITED,
GOV-007,Governance,"Record risk acceptance and exceptions with owner, justification, compensating controls, expiry or review date, and verification evidence.",MUST,P1,PROCESS / EXTERNAL EVIDENCE REQUIRED,Payments and Financial Workflows line 192: Expiration searched credit model/services/routes no expired credit status or expiry workflow found n/a n/a n/a game_credit_model.py:27-64; rg expire only found no credit expiry workflow NOT FOUND IN SUBSYSTEM,PROCESS; REPO/CI,CI-005–014; SUPPLY-001–013; IR-001–012,NOT AUDITED,
API-M01,API and HTTP,Initialize shared process-scoped resources through a controlled application lifecycle and close them during graceful teardown. Avoid unsafe import-time network or migration side effects.,SHOULD,P1,MIXED / PARTIAL STATIC EVIDENCE,"Platform and Operational Foundation, Part 1 line 34: FastAPI app is constructed at import time in backend/main.py:91-97. CONFIRMED. | Platform and Operational Foundation, Part 2 line 91: Object lifecycle rules None found None None None None Search for lifecycle policy/rule terms NOT FOUND IN SUBSYSTEM",CODE; RUNTIME,API-001; DBCONN-005,NOT AUDITED,
API-M02,API and HTTP,"Parse production configuration through typed validation. Missing, malformed, unsafe, or cross-environment values must prevent readiness rather than silently use development defaults.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Platform and Operational Foundation, Part 1 line 17: Configuration and environment handling backend/main.py, backend/database.py, backend/firebase_admin_client.py, backend/services/stripe_service.py, backend/services/r2_storage_service.py, backend/services/inbox_service.py, backend/.env.example, frontend/.env.example Variable names, parsing, defaul... | Platform and Operational Foundation, Part 2 line 18: Development/test compose None found None None None None None None None Static search NOT FOUND IN SUBSYSTEM",CODE; CONFIG; RUNTIME,API-002–003; DEPLOY-004; FE-002,NOT AUDITED,
API-M03,API and HTTP,"Run Uvicorn without reload under reliable supervision. Worker count, concurrency, keep-alive, recycling, shutdown, and instance count must be deliberate and compatible with database/provider limits.",MUST,P0,STATIC GAP INDICATED,"Platform and Operational Foundation, Part 2 lines 4-10: backend hosting is only documented in README; no provider config, Docker/Compose/Procfile, runtime-version files, health-check config, migration/release step, or scaling/process configuration was found.",CONFIG; RUNTIME; LOAD,API-004–007; DEPLOY-006–007; DBCONN-002,NOT AUDITED,
API-M04,API and HTTP,"Trust forwarded scheme, host, and client-address metadata only from known immediate proxies. Define multi-hop normalization and prevent direct-origin bypass.",MUST,P0,STATIC GAP INDICATED,"Platform and Operational Foundation, Part 1 line 127: no repository-defined forwarded/proxy-header trust configuration was found.",CONFIG; RUNTIME; PROVIDER,"API-008–009, 045–046",NOT AUDITED,
API-M05,API and HTTP,"Enforce an explicit host allowlist and canonical domain policy, including deliberate preview-domain handling.",MUST,P1,STATIC GAP INDICATED,"Platform and Operational Foundation, Part 1 line 126 and Phase 1A line 168: no TrustedHost/host-validation implementation was found.",CONFIG; RUNTIME; PROVIDER,API-010; DEPLOY-011,NOT AUDITED,
